Region,Office Location Id,Indians,Foreigners,Indian_Male,Indian_Female,Foreigners_Male,Foreigners_Female,Total Population
Region 31,1,"6,43,596","28,83,782","4,40,445","2,03,151","27,63,718","72,515","35,27,378"
Region 17,9,"3,19,933","15,01,899","2,13,477","1,06,456","14,49,303","27,671",1821832
Region 12,4,"1,94,379","6,50,744","1,61,803","32,576","6,31,660","10,652",845123
Region 22,15,"1,07,360","4,70,708","85,343","22,017","4,50,267","6,389",578068
Region 23,13,"55,351","3,29,980","31,796","23,555","3,25,105","3,684",385331
Region 20,6,"55,044","2,02,485","48,310","6,734","1,93,709","1,458",257529
Region 1,11,"44,727","2,67,200","36,430","8,297","2,60,089","4,295",311927
Region 24,10,"43,437","2,32,626","29,633","13,804","2,27,870","4,417",276063
Region 11,3,"35,923","2,17,717","27,005","8,918","2,12,406","3,503",253640
Region 4,8,"29,149","1,54,197","19,460","9,689","1,50,462","3,357",183346
Region 37,14,"20,023","82,361","16,247","3,776","80,885",934,102384
Region 34,12,"19,613","1,26,178","14,368","5,245","1,23,326","2,447",145791
Region 18,22,"18,297","1,16,492","12,690","5,607","1,14,812","1,463",134789
Region 16,17,"17,544","1,16,111","10,065","7,479","1,14,074","1,898",133655
Region 25,18,"17,537","1,26,517","11,601","5,936","1,25,518",977,144054
Region 33,16,"16,983","77,858","11,671","5,312","76,479",967,94841
Region 5,2,"15,423","1,13,848","9,802","5,621","1,12,461",982,129271
Region 26,27,"12,672","78,063","9,632","3,040","76,279","1,218",90735
Region 15,19,"10,307","83,246","6,730","3,577","82,180","1,040",93553
Region 13,29,"8,950","64,687","4,219","4,731","64,035",587,73637
Region 21,23,"8,100","44,681","5,117","2,983","44,001",497,52781
Region 30,26,"7,734","55,633","5,398","2,336","55,008",604,63367
Region 9,20,"7,542","44,088","6,339","1,203","43,250",813,51630
Region 29,5,"7,237","48,138","5,810","1,427","47,293",324,55375
Region 19,25,"6,720","47,642","5,472","1,248","46,966",539,54362
Region 10,21,"5,648","38,437","3,342","2,306","38,149",286,44085
Region 27,35,"5,635","42,795","4,027","1,608","42,451",284,48430
Region 8,24,"5,232","35,901","3,876","1,356","35,383",461,41133
Region 2,7,"4,093","23,876","3,271",822,"23,683",101,27969
Region 38,32,"3,517","20,440","2,368","1,149","20,309",126,23957
Region 36,34,"3,486","22,365","1,718","1,768","22,208",157,25851
Region 32,31,"2,616","16,469","1,421","1,195","16,222",110,19085
Region 6,28,"2,376","18,097","1,696",680,"17,911",181,20473
Region 28,30,"2,067","20,183","1,840",227,"20,002",181,22250
Region 7,36,"1,867","12,424","1,404",463,"12,335",88,14291
Region 35,37,"1,212","6,084",998,214,"6,042",36,7296
Region 14,33,865,"6,777",574,291,"6,691",86,7642
Region 3,38,686,"5,737",380,306,"5,702",35,6423